qid,figure_index,figure_count,session,paper,question,file_name,relative_path,public_url
0580-2024MayJune-Paper22-Q12,0,1,2024MayJune,Paper22,Q12,Q12.png,2024MayJune/Paper22/Q12/Q12.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q12/Q12.png
0580-2024MayJune-Paper22-Q14,0,1,2024MayJune,Paper22,Q14,Q14.png,2024MayJune/Paper22/Q14/Q14.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q14/Q14.png
0580-2024MayJune-Paper22-Q15,0,1,2024MayJune,Paper22,Q15,Q15.png,2024MayJune/Paper22/Q15/Q15.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q15/Q15.png
0580-2024MayJune-Paper22-Q16,0,1,2024MayJune,Paper22,Q16,Q16.png,2024MayJune/Paper22/Q16/Q16.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q16/Q16.png
0580-2024MayJune-Paper22-Q17,0,1,2024MayJune,Paper22,Q17,Q17.png,2024MayJune/Paper22/Q17/Q17.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q17/Q17.png
0580-2024MayJune-Paper22-Q18,0,1,2024MayJune,Paper22,Q18,Q18.png,2024MayJune/Paper22/Q18/Q18.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q18/Q18.png
0580-2024MayJune-Paper22-Q22,0,3,2024MayJune,Paper22,Q22,Q22ai.png,2024MayJune/Paper22/Q22/Q22ai.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q22/Q22ai.png
0580-2024MayJune-Paper22-Q22,1,3,2024MayJune,Paper22,Q22,Q22aii.png,2024MayJune/Paper22/Q22/Q22aii.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q22/Q22aii.png
0580-2024MayJune-Paper22-Q22,2,3,2024MayJune,Paper22,Q22,Q22bi.png,2024MayJune/Paper22/Q22/Q22bi.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q22/Q22bi.png
0580-2024MayJune-Paper22-Q23,0,1,2024MayJune,Paper22,Q23,Q23.png,2024MayJune/Paper22/Q23/Q23.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q23/Q23.png
0580-2024MayJune-Paper22-Q24,0,1,2024MayJune,Paper22,Q24,Q24.png,2024MayJune/Paper22/Q24/Q24.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q24/Q24.png
0580-2024MayJune-Paper23-Q09,0,1,2024MayJune,Paper23,Q09,Q09.png,2024MayJune/Paper23/Q09/Q09.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper23/Q09/Q09.png
